Value,Count
21061119AG,1
21061119BI,3
21091116I,1
211033MI,20
22011119TI,9
2201116PI,3
2201116SG,2
2201116SI,2
2201117SG,5
2201117SI,2
2201117TG,24
2201117TI,3
220233L2G,5
220233L2I,2
220333QBI,14
22041219G,3
22071219CG,2
22071219CI,4
220733SFG,1
220733SI,2
2209116AG,1
2210129SG,1
22101316G,3
22111317G,5
22120RN86G,7
23021RAAEG,14
2302EPCC4I,4
23053RN02A,1
A37fw,2
AC2001,3
AE9010,9
AE9220,1
AE9260,2
AE9950,2
AF9020,1
AH9110,2
ATU-L42,1
BE2013,10
CPH1607,1
CPH1725,1
CPH1729,7
CPH1801,2
CPH1803,24
CPH1823,8
CPH1853,2
CPH1901,1
CPH1909,4
CPH1923,9
CPH1931,2
CPH1933,6
CPH1969,4
CPH2001,3
CPH2015,4
CPH2061,3
CPH2083,13
CPH2095,2
CPH2121,1
CPH2127,92
CPH2179,1
CPH2185,2
CPH2223,3
CPH2239,3
CPH2269,6
CPH2285,1
CPH2325,7
CPH2333,1
CPH2349,2
CPH2363,1
CPH2365,1
CPH2385,3
CPH2387,3
CPH2409,5
CPH2421,5
CPH2423,3
CPH2461,3
CPH2469,6
CPH2471,8
CPH2477,5
DE2117,3
DRA-LX2,1
DUB-LX2,4
GM1900,2
GM1901,1
GM1911,1
HD1900,2
HD1901,1
HRY-LX1T,3
HUAWEI NMO-L31,1
INE-LX1,1
IN_Note1,2
IV2201,2
Infinix X6512,1
Infinix X6515,1
Infinix X6516,2
Infinix X6517,1
Infinix X656,1
Infinix X657B,2
Infinix X663C,1
Infinix X680B,1
Infinix X6816,7
Infinix X6816C,6
Infinix X6823C,1
Infinix X688B,4
Infinix X689B,2
JKM-LX2,2
KB2001,1
LDN-L21,4
LDN-LX2,2
LE2101,1
LE2115,1
LE9910,1
LLD-AL20,1
Lenovo K14 Plus,2
M2003J15SC,29
M2004J19C,17
M2004J19PI,6
M2006C3LG,20
M2006C3LI,18
M2006C3LII,3
M2006C3MG,8
M2006C3MI,18
M2006C3MII,14
M2007J17C,2
M2007J20CI,7
M2010J19CG,2
M2010J19SG,6
M2010J19SI,11
M2012K11AC,1
M2012K11AG,2
M2101K6G,10
M2101K6I,2
M2101K6P,1
M2101K7AG,7
M2101K7AI,3
M2101K7BG,19
M2101K7BI,8
M2102J20SG,8
M2102J20SI,9
M2103K19PI,4
MAR-LX1A,1
MI PLAY,2
MRD-LX2,1
Mi A2,1
Mi A2 Lite,7
Mi A3,2
Mi Note 10 Lite,2
Mito A67,2
Nexus 5,35
Nokia C2,1
Nokia C20,1
ONEPLUS A6010,4
PAR-LX1M,1
POCOPHONE F1,1
RKY-LX2,23
RMX1809,1
RMX1827,2
RMX1911,1
RMX1941,2
RMX2020,3
RMX2030,7
RMX2050,2
RMX2151,75
RMX2170,2
RMX2185,1
